date,prec_AGCD,prec_SILO,PET_morton,sf_mmd
1971-05-21,3.05389,3.352681,3.252952,3.263138
1971-05-22,4.30833,6.360337,3.078667,3.123631
1971-05-23,0.380593,0.269123,3.527429,2.988014
1971-05-24,0.0,0.0,3.286095,2.854621
1971-05-25,0.0,0.0,1.770667,2.724562
1971-05-26,0.000943,0.0,1.930286,2.572827
1971-05-27,0.0,0.0,1.857714,2.434987
1971-05-28,0.490952,0.331596,3.182286,2.350504
1971-05-29,2.99912,1.723004,3.297333,2.254906
1971-05-30,0.0,0.0,3.183619,2.173202
1971-05-31,0.920084,1.063007,1.789333,2.059262
1971-06-01,0.0,0.0,2.967619,1.968666
1971-06-02,0.0,0.0,3.030095,1.89252
1971-06-03,0.0,0.0,2.998667,1.805814
1971-06-04,0.452338,0.856142,2.56381,1.733004
1971-06-05,0.0,0.0,2.434667,1.650189
1971-06-06,0.04955,0.012553,2.7,1.580157
1971-06-07,0.36923,0.714843,2.947238,1.482335
1971-06-08,0.0,0.0,2.255429,1.422864
1971-06-09,0.125355,0.411942,2.121333,1.386181
1971-06-10,0.012958,0.0,2.915048,1.329488
1971-06-11,1.186815,2.167177,3.346095,1.311703
1971-06-12,0.458943,0.850804,2.973714,1.249452
1971-06-13,0.0,0.0,2.974667,1.194983
1971-06-14,0.000225,0.0,2.259619,1.161079
1971-06-15,0.0,0.0,2.550286,1.093271
1971-06-16,0.0,0.0,0.973333,1.067148
1971-06-17,0.0,0.0,1.764762,1.051029
1971-06-18,0.0,0.0,2.762476,1.010456
1971-06-19,0.0,0.0,2.478667,0.970438
1971-06-20,0.0,0.0,2.216381,0.931531
1971-06-21,0.00165,0.0,1.892572,0.892625
1971-06-22,10.714764,6.84586,2.127238,0.855386
1971-06-23,1.304187,1.026231,2.244952,0.818147
1971-06-24,0.46742,0.319774,2.13619,0.782019
1971-06-25,23.923501,17.017253,0.7,0.746448
1971-06-26,30.172176,18.968344,0.349905,0.950984
1971-06-27,0.0,0.0,0.956762,2.591724
1971-06-28,0.0,0.0,1.452952,1.645186
1971-06-29,0.002191,0.0,2.169714,1.38896
1971-06-30,0.437277,0.376927,1.467619,1.312258
1971-07-01,0.003237,0.0,1.979429,1.265015
1971-07-02,0.126256,0.091369,2.161905,1.221106
1971-07-03,0.042279,0.001712,2.65581,1.178309
1971-07-04,0.002009,0.0,2.941714,1.15163
1971-07-05,0.598852,0.371991,2.264952,1.134956
1971-07-06,0.002217,0.0,1.949524,1.108833
1971-07-07,0.329133,0.131613,3.471429,1.108833
1971-07-08,0.0,0.0,2.787809,1.092715
1971-07-09,0.000735,0.0,1.1,1.051585
1971-07-10,0.007584,0.005326,2.029714,1.010456
1971-07-11,0.000352,0.0,1.785524,0.986
1971-07-12,2.906088,1.985843,2.127619,0.985444
1971-07-13,10.654496,5.416357,1.478286,1.016014
1971-07-14,8.848947,3.050412,2.046286,1.176642
1971-07-15,3.740621,4.760677,2.945333,1.376176
1971-07-16,0.5129,0.587952,3.266667,1.261124
1971-07-17,0.004905,0.0,2.137905,1.103831
1971-07-18,0.387227,0.307211,2.458667,1.011011
1971-07-19,2.44104,2.414628,2.143619,0.970438
1971-07-20,4.438834,1.722201,1.950667,1.012123
1971-07-21,1.802111,1.495197,2.101714,0.980442
1971-07-22,3.236155,3.05634,1.973524,0.908187
1971-07-23,12.165206,7.863989,2.503619,1.112724
1971-07-24,0.000586,0.0,1.889714,1.068259
1971-07-25,0.0,0.0,2.088952,0.894292
1971-07-26,0.0,0.0,2.191429,0.855386
1971-07-27,0.0,0.0,3.205524,0.832042
1971-07-28,0.0,0.0,3.549905,0.817591
1971-07-29,0.0,0.0,2.944571,0.795914
1971-07-30,0.0,0.0,3.128,0.782019
1971-07-31,0.0,0.0,3.532,0.760343
1971-08-01,0.0,0.0,3.684762,0.746448
1971-08-02,0.0,0.0,3.465143,0.724771
1971-08-03,0.0,0.0,2.858667,0.724771
1971-08-04,0.0,0.0,3.539619,0.724771
1971-08-05,0.0,0.0,3.893714,0.724771
1971-08-06,0.0,0.0,2.519429,0.724771
1971-08-07,5.833172,5.799172,3.101333,0.728106
1971-08-08,0.629131,0.551925,3.965333,0.853718
1971-08-09,1.7e-05,0.0,3.803048,0.759787
1971-08-10,1.715186,1.722993,3.100191,0.724771
1971-08-11,1.035541,0.946809,3.714667,0.725883
1971-08-12,0.0,0.0,3.597714,0.765345
1971-08-13,0.0,0.0,4.203429,0.711988
1971-08-14,0.000368,0.0,3.780381,0.690867
1971-08-15,0.0,0.0,3.680191,0.678084
1971-08-16,0.001004,0.0,2.059619,0.657519
1971-08-17,0.0,0.0,2.908952,0.644735
1971-08-18,0.000502,0.0,2.898286,0.624726
1971-08-19,0.108592,0.109677,3.0,0.624726
1971-08-20,0.84425,1.054409,3.671429,0.624726
1971-08-21,0.709669,0.785299,3.779619,0.624726
1971-08-22,1.12268,1.021855,4.228381,0.649737
1971-08-23,0.461678,0.383055,3.568952,0.664744
1971-08-24,0.903391,1.115392,3.484,0.625282
1971-08-25,0.086966,0.245883,3.032,0.624726
1971-08-26,1.164509,0.953472,3.319429,0.624726
1971-08-27,5.569025,2.933929,3.410286,0.624726
1971-08-28,1.034269,0.829293,3.508571,0.662521
1971-08-29,0.0,0.0,4.152381,0.685309
1971-08-30,0.0,0.0,4.654667,0.613054
1971-08-31,0.0,0.0,2.991048,0.581373
1971-09-01,0.0,0.0,4.088762,0.550804
1971-09-02,0.0,0.0,4.362476,0.531907
1971-09-03,0.0,0.0,4.258667,0.531907
1971-09-04,0.0,0.0,4.183619,0.531907
1971-09-05,0.0,0.0,2.735619,0.531907
1971-09-06,0.0,0.0,3.867238,0.509118
